device_id,season,mean_temp_c,mean_pm25,mean_humidity,n_readings,sensorlocation,sensor_lat,sensor_lon,precinct,tree_count_500m,short_name
ICTMicroclimate-08,Spring,16.0821288248601,4.690379807119895,60.91799023693297,16798,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,-37.8184515,144.9678474,Melbourne,838,Swanston/Fed Sq
ICTMicroclimate-08,Summer,20.97116621983914,5.210053619302949,58.416434316353886,14920,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,-37.8184515,144.9678474,Melbourne,838,Swanston/Fed Sq
ICTMicroclimate-08,Winter,11.769478409829286,9.221099887766554,69.51518105026877,16929,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,-37.8184515,144.9678474,Melbourne,838,Swanston/Fed Sq
ICTMicroclimate-09,Autumn,18.014331705150976,17.091585257548846,63.264287300177614,9008,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),-37.8223306,144.9521696,Docklands,568,MCEC Rooftop
ICTMicroclimate-09,Spring,15.930225563909772,2.143030653556969,61.40894158473106,17290,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),-37.8223306,144.9521696,Docklands,568,MCEC Rooftop
ICTMicroclimate-09,Summer,20.912722381854863,4.080577122944305,59.19437549672923,16357,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),-37.8223306,144.9521696,Docklands,568,MCEC Rooftop
ICTMicroclimate-09,Winter,11.903038595829008,6.388128715674247,69.98352363876569,10597,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),-37.8223306,144.9521696,Docklands,568,MCEC Rooftop
ICTMicroclimate-10,Autumn,12.704594594594594,9.721621621621622,77.62351351351352,1110,1 Treasury Place,-37.8128595,144.9745395,East Melbourne,1347,1 Treasury Pl A
ICTMicroclimate-10,Spring,12.492907610524192,3.5538758713361887,58.35932306035933,14861,1 Treasury Place,-37.8128595,144.9745395,East Melbourne,1347,1 Treasury Pl A
ICTMicroclimate-10,Summer,19.73887331838565,4.359211509715994,67.80848281016442,10704,1 Treasury Place,-37.8128595,144.9745395,East Melbourne,1347,1 Treasury Pl A
ICTMicroclimate-10,Winter,9.985918119173084,5.941004342080423,70.17373327928658,12335,1 Treasury Place,-37.8128595,144.9745395,East Melbourne,1347,1 Treasury Pl A
ICTMicroclimate-11,Autumn,17.833094669848848,4.921241050119332,64.1654960790999,8799,1 Treasury Place,-37.812888,144.9750857,East Melbourne,1437,1 Treasury Pl B
ICTMicroclimate-11,Spring,15.721090484983964,2.295732952225398,59.12202352026436,10289,1 Treasury Place,-37.812888,144.9750857,East Melbourne,1437,1 Treasury Pl B
ICTMicroclimate-11,Summer,21.082844521688752,2.788760953001665,59.77836193786661,13809,1 Treasury Place,-37.812888,144.9750857,East Melbourne,1437,1 Treasury Pl B
ICTMicroclimate-11,Winter,11.346625070901872,4.933408961996597,70.14380034032898,8815,1 Treasury Place,-37.812888,144.9750857,East Melbourne,1437,1 Treasury Pl B
aws5-0999,Autumn,16.625070084100923,,76.71882258710453,4994,Royal Park Asset ID: COM2707,-37.7956167,144.9519007,North Melbourne,4910,Royal Park
aws5-0999,Spring,14.859296685529506,,71.7698329291296,7422,Royal Park Asset ID: COM2707,-37.7956167,144.9519007,North Melbourne,4910,Royal Park
aws5-0999,Summer,19.87623184647303,,68.80477178423237,7712,Royal Park Asset ID: COM2707,-37.7956167,144.9519007,North Melbourne,4910,Royal Park
aws5-0999,Winter,10.155231900452488,,84.55356334841629,10608,Royal Park Asset ID: COM2707,-37.7956167,144.9519007,North Melbourne,4910,Royal Park
