hour,month_num,month_lbl,mean_temp_c,mean_humidity,mean_pm25
0,1,Jan,19.60304494689937,69.13832159301894,6.347927160015498
0,2,Feb,19.404841618051407,70.21554094261805,4.413085311096857
0,3,Mar,19.076011994003,73.53103446626687,4.821862348178137
0,4,Apr,16.968825918218624,72.52170040485831,6.289649415692821
0,5,May,12.949192365638767,72.40279001835536,13.427139552814186
0,6,Jun,9.974759505267981,80.27581311268895,9.467065868263473
0,7,Jul,9.82107496463932,82.08892027722773,6.937913486005089
0,8,Aug,10.744867772747646,76.3018825759749,8.924938271604939
0,9,Sep,12.356259780516433,67.4558294385759,3.2482758620689656
0,10,Oct,14.296450943215033,69.91837158538623,3.0498016747465844
0,11,Nov,16.041844283601566,72.6548064523706,4.435476516187871
0,12,Dec,17.512903234067664,67.96349331392605,2.885024549918167
1,1,Jan,19.118161608969608,70.99166049740548,5.54087562960093
1,2,Feb,18.963536603658536,71.93073171341463,4.34924787442773
1,3,Mar,18.710298519402986,74.73276120149254,4.4064777327935225
1,4,Apr,16.612560388083736,74.13325280434783,6.145954962468724
1,5,May,12.560284697508898,73.29423488398577,13.441021788129227
1,6,Jun,9.747533425541725,81.26961732733979,9.5215
1,7,Jul,9.625189035916826,82.36918714083176,7.108695652173913
1,8,Aug,10.412224719101124,77.29393255505617,9.235584031542631
1,9,Sep,12.124236492169146,67.34169927995302,3.268187688334051
1,10,Oct,13.877674815501265,71.31575399073294,2.9810405643738975
1,11,Nov,15.625566201655053,73.67369337369338,4.265241128298453
1,12,Dec,17.147762385346535,69.00221781623762,2.883312933496532
2,1,Jan,18.749832536657983,72.30937848604391,5.188372093023256
2,2,Feb,18.640751812649164,72.51294749821002,4.309218950064021
2,3,Mar,18.44528875835866,75.80075987234042,4.473983739837398
2,4,Apr,15.97101336292223,75.93919872191674,6.13544201135442
2,5,May,12.251851852564101,73.8591167977208,13.505609573672402
2,6,Jun,9.51077487391105,82.08583220128381,9.937250996015937
2,7,Jul,9.395112781954888,82.8883928218985,7.1797072185764765
2,8,Aug,10.073203195208519,77.99130434250222,9.545940690325716
2,9,Sep,11.862358011750882,67.65985115315316,3.230869001297017
2,10,Oct,13.363037867900172,72.52917381970741,2.8151528982199907
2,11,Nov,15.320087148583879,74.62862744270153,4.2176684881602915
2,12,Dec,16.805833666929445,69.90997239929051,2.826193390452876
3,1,Jan,18.45061180126066,73.07994068372265,5.096525096525096
3,2,Feb,18.255446769277846,73.28280292288862,4.137344669718771
3,3,Mar,18.077293241353384,76.58789473834587,4.280645161290322
3,4,Apr,15.785113275889968,77.85153723705501,6.211055276381909
3,5,May,11.998072806566737,74.22019986224126,13.801652892561984
3,6,Jun,9.318637827887713,82.38743673815003,9.55656108597285
3,7,Jul,9.183089967027792,83.59646725011775,7.201718907987867
3,8,Aug,9.817898486197684,78.71723063935886,9.516270033997086
3,9,Sep,11.529948839039747,68.37870916883116,3.1666666666666665
3,10,Oct,13.151403439044827,72.67603685965648,2.7990282685512367
3,11,Nov,15.11616161352657,75.15300835309618,4.316340464269459
3,12,Dec,16.471971500395885,70.76904196674585,2.831768068599428
4,1,Jan,18.116500199778024,74.45741770255272,4.889060688055663
4,2,Feb,18.08547114224924,73.53525834650455,3.9566903684550745
4,3,Mar,17.8672426851991,77.31502627498121,4.45587044534413
4,4,Apr,15.455967748387097,78.89395161854839,6.293969849246231
4,5,May,11.690340909801137,74.95383522230114,13.666168782673637
4,6,Jun,9.127167896678968,82.68519372693727,9.462306540189715
4,7,Jul,8.97059652418976,84.21352749741664,7.264987405541562
4,8,Aug,9.646859688195992,79.0104677207127,9.40787554691298
4,9,Sep,11.210613209512578,69.24972485613208,3.104807275877003
4,10,Oct,12.966086236733002,72.62139301285241,2.7844258688957324
4,11,Nov,14.74035164835165,76.5575824079121,4.538110451848471
4,12,Dec,16.177053052259332,71.22479370176816,2.715742251223491
5,1,Jan,17.79367325530331,75.50234459211016,5.211874272409779
5,2,Feb,17.99106384072948,73.33714287659575,3.9654498044328554
5,3,Mar,17.670264158490564,78.34754714943396,4.582792207792208
5,4,Apr,15.38542510688259,77.99538464777328,6.286549707602339
5,5,May,11.402580648028673,75.8934050250896,13.774436090225564
5,6,Jun,8.943373493975903,83.13443001853568,9.408450704225352
5,7,Jul,8.856291079812207,84.61370892441315,7.272452068617558
5,8,Aug,9.537807606263982,79.05829979731544,8.992704280155642
5,9,Sep,10.981185365155131,69.78321398806683,2.855028297779713
5,10,Oct,12.742786070895523,72.82367328731344,2.77366798767063
5,11,Nov,14.42730853260394,77.04783368577681,4.53430258973194
5,12,Dec,15.952575697994495,71.62481322768383,2.5974714518760194
