date,year,month_lbl,month_num,season,mean_pm25
2024-06-12,2024,Jun,6,Winter,1.0
2024-06-12,2024,Jun,6,Winter,1.8541666666666663
2024-06-12,2024,Jun,6,Winter,1.96875
2024-06-12,2024,Jun,6,Winter,5.578947368421053
2024-06-12,2024,Jun,6,Winter,2.46875
2024-06-13,2024,Jun,6,Winter,7.8541666666666705
2024-06-13,2024,Jun,6,Winter,17.427083333333336
2024-06-13,2024,Jun,6,Winter,12.86315789473684
2024-06-13,2024,Jun,6,Winter,1.127659574468085
2024-06-13,2024,Jun,6,Winter,9.71578947368422
2024-06-13,2024,Jun,6,Winter,9.16129032258065
2024-06-13,2024,Jun,6,Winter,7.895833333333328
2024-06-14,2024,Jun,6,Winter,38.59375
2024-06-14,2024,Jun,6,Winter,34.83333333333333
2024-06-14,2024,Jun,6,Winter,31.53125
2024-06-14,2024,Jun,6,Winter,15.175824175824175
2024-06-14,2024,Jun,6,Winter,24.64583333333333
2024-06-14,2024,Jun,6,Winter,25.91752577319588
2024-06-14,2024,Jun,6,Winter,22.799999999999997
2024-06-15,2024,Jun,6,Winter,28.875
2024-06-15,2024,Jun,6,Winter,17.48421052631579
2024-06-15,2024,Jun,6,Winter,17.78125
2024-06-15,2024,Jun,6,Winter,18.0
2024-06-15,2024,Jun,6,Winter,10.684210526315791
2024-06-15,2024,Jun,6,Winter,58.526315789473685
2024-06-15,2024,Jun,6,Winter,44.83333333333333
2024-06-16,2024,Jun,6,Winter,2.2708333333333357
2024-06-16,2024,Jun,6,Winter,3.90625
2024-06-16,2024,Jun,6,Winter,4.364583333333334
2024-06-16,2024,Jun,6,Winter,5.66666666666667
2024-06-16,2024,Jun,6,Winter,5.105263157894735
2024-06-16,2024,Jun,6,Winter,10.957894736842114
2024-06-16,2024,Jun,6,Winter,12.729166666666677
2024-06-17,2024,Jun,6,Winter,2.126315789473684
2024-06-17,2024,Jun,6,Winter,6.15625
2024-06-17,2024,Jun,6,Winter,5.414893617021276
2024-06-17,2024,Jun,6,Winter,0.125
2024-06-17,2024,Jun,6,Winter,2.663157894736843
2024-06-17,2024,Jun,6,Winter,2.71875
2024-06-17,2024,Jun,6,Winter,0.4583333333333335
2024-06-18,2024,Jun,6,Winter,6.6701030927835046
2024-06-18,2024,Jun,6,Winter,15.302083333333332
2024-06-18,2024,Jun,6,Winter,13.114583333333332
2024-06-18,2024,Jun,6,Winter,0.0
2024-06-18,2024,Jun,6,Winter,1.0842105263157915
2024-06-18,2024,Jun,6,Winter,5.0
2024-06-18,2024,Jun,6,Winter,19.55319148936171
2024-06-18,2024,Jun,6,Winter,1.4105263157894734
2024-06-19,2024,Jun,6,Winter,8.13684210526316
